name,initiatives,count,type
Manulife,"['Global Real Estate Sustainability Benchmark', 'Climate Action 100+', 'Principles for Responsible Investment', 'Sustainable Development Goals', 'Equator Principles', 'Carbon Disclosure Project', 'Science Based Targets initiative', 'Global Reporting Initiative', 'Task Force on Climate-related Financial Disclosure', 'Sustainability Accounting Standards Board']",10,am
E Fund,"['Principles for Responsible Investment', 'Carbon Disclosure Project', 'Task Force on Climate-related Financial Disclosure', 'Climate Action 100+']",4,am
Pictet,"['Climate Action 100+', 'Principles for Responsible Banking', 'Principles for Responsible Investment', 'Institutional Investors Group on Climate Change', 'Paris Agreement Capital Transition Assessment', 'Sustainable Development Goals', 'UN Global Compact', 'Investor Group on Climate Change']",8,am
BNP Paribas,"['Sustainable Development Goals', 'Paris Agreement Capital Transition Assessment', 'Poseidon Principles']",3,am
BNY Mellon,"['Global Reporting Initiative', 'Task Force on Climate-related Financial Disclosure', 'Principles for Responsible Investment', 'Sustainability Accounting Standards Board', 'Carbon Disclosure Project', 'Climate Action 100+', 'Climate Disclosure Standards Board', 'Green Bond Principles', 'Institutional Investors Group on Climate Change', 'International Corporate Governance Network', 'Equator Principles', 'The Greenhouse Gas Protocol']",12,am
Insight,"['Task Force on Climate-related Financial Disclosure', 'Principles for Responsible Investment', 'Carbon Disclosure Project', 'Institutional Investors Group on Climate Change', 'Sustainable Development Goals', 'Climate Action 100+', 'Green Bond Principles', 'UN Global Compact']",8,am
GAM,"['UN Global Compact', 'Sustainability Accounting Standards Board', 'Investor Group on Climate Change', 'International Corporate Governance Network', 'Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure']",6,am
CICC,['Stock Exchange of Hong Kong'],1,am
L&G,"['Global Reporting Initiative', 'Science Based Targets initiative', 'Sustainable Development Goals', 'Principles for Responsible Investment', 'UN Global Compact', 'Carbon Disclosure Project', 'The Greenhouse Gas Protocol', 'Task Force on Climate-related Financial Disclosure', 'Sustainability Accounting Standards Board']",9,am
BofA,"['Global Reporting Initiative', 'Sustainability Accounting Standards Board', 'Sustainable Markets Initiative', 'Carbon Disclosure Project', 'Task Force on Climate-related Financial Disclosure', 'Science Based Targets initiative']",6,am
Aviva,"['Principles for Responsible Investment', 'Sustainable Development Goals', 'Global Real Estate Sustainability Benchmark', 'Climate Action 100+', 'Intergovernmental Panel on Climate Change', 'Carbon Disclosure Project', 'Global Reporting Initiative', 'Institutional Investors Group on Climate Change', 'International Corporate Governance Network', 'Investor Group on Climate Change', 'Sustainability Accounting Standards Board', 'UN Global Compact']",12,am
Standard Life,"['Sustainable Development Goals', 'UN Global Compact', 'Principles for Responsible Investment', 'Sustainability Accounting Standards Board']",4,am
Fisch,['Principles for Responsible Investment'],1,am
Fullerton,"['Principles for Responsible Investment', 'Sustainable Development Goals']",2,am
Capital Group,"['Principles for Responsible Investment', 'UN Global Compact']",2,am
CITIC Capital,['Stock Exchange of Hong Kong'],1,am
FWD,"['Global Reporting Initiative', 'Principles for Responsible Investment', 'Sustainability Accounting Standards Board', 'Task Force on Climate-related Financial Disclosure']",4,ins
AXA,"['Sustainable Development Goals', 'FTSE Russell', 'Principles for Responsible Investment', 'Carbon Disclosure Project', 'Climate Action 100+', 'UN Global Compact', 'Task Force on Climate-related Financial Disclosure', 'Climate Bonds Initiative', 'Intergovernmental Panel on Climate Change', 'Green Bond Principles', 'Carbon Risk Real Estate Monitor', 'Science Based Targets initiative']",12,ins
Taiwan Life,"['Sustainable Development Goals', 'Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure']",3,ins
Nan Shan Life,"['Global Reporting Initiative', 'Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'Principles for Responsible Investment']",4,ins
Meiji Yasuda,"['Sustainable Development Goals', 'Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure']",3,ins
Nippon Life,"['Principles for Responsible Investment', 'Sustainable Development Goals', 'Equator Principles', 'Principles for Financial Action for the 21st Century', 'Task Force on Climate-related Financial Disclosure']",5,ins
Ping An,"['Global Reporting Initiative', 'Stock Exchange of Hong Kong', 'Sustainable Development Goals', 'Principles for Responsible Investment', 'Climate Action 100+', 'Green Investment Principle', 'Task Force on Climate-related Financial Disclosure']",7,ins
Sun Life,"['Sustainable Development Goals', 'Global Reporting Initiative', 'Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure', 'Green Bond Principles', 'Intergovernmental Panel on Climate Change']",6,ins
Kyobo Life,"['Global Reporting Initiative', 'Sustainable Development Goals', 'UN Global Compact', 'Task Force on Climate-related Financial Disclosure', 'Carbon Disclosure Project']",5,ins
Prudential,"['Task Force on Climate-related Financial Disclosure', 'Stock Exchange of Hong Kong', 'Sustainable Development Goals', 'Carbon Disclosure Project', 'Climate Action 100+', 'International Corporate Governance Network', 'Asia Investor Group on Climate Change', 'Investor Group on Climate Change', 'Principles for Responsible Investment', 'Global Reporting Initiative', 'UN Global Compact']",11,ins
Asahi Life,"['Sustainable Development Goals', 'Principles for Responsible Investment']",2,ins
Daiichi Life,"['Sustainable Development Goals', 'Principles for Financial Action for the 21st Century', 'Global Real Estate Sustainability Benchmark', 'FTSE Russell', 'UN Global Compact', 'Principles for Responsible Investment', 'Carbon Disclosure Project', 'Global Reporting Initiative', 'Task Force on Climate-related Financial Disclosure', 'Sustainability Accounting Standards Board']",10,ins
Fukoku Life,"['Principles for Responsible Investment', 'Sustainable Development Goals']",2,ins
Shin Kong,"['Global Reporting Initiative', 'Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'Principles for Responsible Investment', 'Equator Principles', 'Sustainability Accounting Standards Board']",6,ins
AIA,"['Global Reporting Initiative', 'Stock Exchange of Hong Kong', 'Task Force on Climate-related Financial Disclosure', 'UN Global Compact', 'Sustainable Development Goals', 'Principles for Responsible Investment', 'Climate Action 100+', 'FTSE Russell', 'Intergovernmental Panel on Climate Change']",9,ins
Cathay Life,"['Equator Principles', 'Principles for Responsible Banking', 'Principles for Responsible Investment', 'UN Global Compact', 'Asia Investor Group on Climate Change', 'Investor Group on Climate Change', 'Climate Action 100+']",7,ins
KB Financial,"['Global Reporting Initiative', 'Principles for Responsible Banking', 'Carbon Disclosure Project', 'Sustainable Development Goals', 'UN Global Compact', 'Task Force on Climate-related Financial Disclosure', 'Collective Commitment to Climate Action', 'Equator Principles', 'Principles for Responsible Investment', 'Sustainability Accounting Standards Board', 'Partnership for Carbon Accounting Financials', 'Intergovernmental Panel on Climate Change', 'Science Based Targets initiative', 'Green Bond Principles', 'Net Zero Bank Alliance']",15,ins
