,Company,Type,Initiatives,Count
93,Ninetyone,am,"['Task Force on Climate-related Financial Disclosure', 'Carbon Disclosure Project', 'Institutional Investors Group on Climate Change', 'International Corporate Governance Network', 'Principles for Responsible Investment', 'Climate Action 100+']",6
94,NipponLife,ins,"['Equator Principles', 'Principles for Financial Action for the 21st Century', 'Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure', 'Sustainable Development Goals']",5
95,NPF,ab,"['Principles for Responsible Investment', 'International Corporate Governance Network', 'Investor Group on Climate Change', 'Asia Investor Group on Climate Change', 'UN Global Compact', 'United Nations Environment Program Finance Initiative']",6
96,NZSF,am,"['Climate Action 100+', 'Investor Group on Climate Change', 'Carbon Disclosure Project']",3
97,OCBC,am,"['Global Reporting Initiative', 'Sustainable Development Goals', 'Equator Principles', 'Asia Sustainable Finance Initiative', 'Intergovernmental Panel on Climate Change', 'Task Force on Climate-related Financial Disclosure', 'Green Bond Principles', 'UN Global Compact']",8
98,PGIM,am,"['Global Reporting Initiative', 'Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure']",3
99,PICTET,am,"['Climate Action 100+', 'Principles for Responsible Banking', 'Principles for Responsible Investment', 'Institutional Investors Group on Climate Change', 'Paris Agreement Capital Transition Assessment', 'Sustainable Development Goals', 'UN Global Compact', 'Investor Group on Climate Change']",8
100,PIMCO,ins,"['Sustainable Development Goals', 'UN Global Compact', 'Global Reporting Initiative', 'Sustainability Accounting Standards Board', 'Carbon Disclosure Project', 'Task Force on Climate-related Financial Disclosure', 'The Greenhouse Gas Protocol', 'Climate Action 100+', 'Principles for Responsible Investment', 'Institutional Investors Group on Climate Change', 'Climate Bonds Initiative', 'Green Bond Principles']",12
101,Pinebridge,ab,"['UN Global Compact', 'Principles for Responsible Investment', 'Climate Disclosure Standards Board', 'Climate Action 100+', 'Global Real Estate Sustainability Benchmark', 'Green Bond Principles', 'Institutional Investors Group on Climate Change', 'International Corporate Governance Network', 'Investor Group on Climate Change', 'Investor Network on Climate Risk', 'Sustainability Accounting Standards Board', 'Sustainable Development Goals', 'Global Investors for Sustainable Development Alliance ']",13
102,PingAn,ins,"['FTSE Russell', 'Global Reporting Initiative', 'Principles for Responsible Investment', 'Stock Exchange of Hong Kong', 'Sustainable Development Goals', 'Climate Action 100+', 'UN Global Compact', 'Intergovernmental Panel on Climate Change', 'Carbon Disclosure Project', 'Green Investment Principle', 'Climate Bonds Initiative', 'Task Force on Climate-related Financial Disclosure', 'Green Bond Principles']",13
103,Prudential,ab,"['Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'Global Reporting Initiative', 'UN Global Compact', 'Principles for Responsible Investment', 'Stock Exchange of Hong Kong', 'Carbon Disclosure Project', 'Climate Action 100+', 'International Corporate Governance Network', 'Asia Investor Group on Climate Change', 'Investor Group on Climate Change']",11
104,PSBC,am,"['Stock Exchange of Hong Kong', 'Intergovernmental Panel on Climate Change']",2
105,RHB,ins,"['Global Reporting Initiative', 'Sustainable Development Goals', 'ASEAN Green Bond Standards', 'UN Global Compact', 'FTSE Russell', 'Task Force on Climate-related Financial Disclosure', 'Green Bond Principles', 'United Nations Framework Convention on Climate Change', 'Sustainability Accounting Standards Board', 'Carbon Disclosure Project']",10
106,SBI,ab,"['Sustainable Development Goals', 'Global Reporting Initiative', 'Climate Bonds Initiative']",3
107,SCB,ab,"['FTSE Russell', 'Sustainable Development Goals', 'ASEAN Green Bond Standards', 'Green Bond Principles', 'Climate Bonds Initiative', 'Equator Principles', 'Task Force on Climate-related Financial Disclosure', 'Intergovernmental Panel on Climate Change']",8
108,Schroders,am,"['Science Based Targets initiative', 'Sustainable Development Goals', 'Carbon Disclosure Project', 'Principles for Responsible Investment', 'Net Zero Asset Managers initiative', 'Global Real Estate Sustainability Benchmark', 'International Corporate Governance Network', 'Global Reporting Initiative', 'UN Global Compact', 'Asia Investor Group on Climate Change', 'Investor Group on Climate Change', 'Institutional Investors Group on Climate Change', 'FTSE Russell', 'Task Force on Climate-related Financial Disclosure', 'Climate Action 100+']",15
109,Shinhan,am,"['UN Global Compact', 'Global Reporting Initiative', 'Equator Principles', 'Partnership for Carbon Accounting Financials', 'Sustainable Development Goals', 'Principles for Responsible Banking', 'Carbon Disclosure Project', 'Task Force on Climate-related Financial Disclosure', 'Value Balancing Alliance', 'Science Based Targets initiative', 'Sustainability Accounting Standards Board']",11
110,ShinKong,ab,"['Global Reporting Initiative', 'Sustainable Development Goals', 'Principles for Responsible Investment', 'Sustainability Accounting Standards Board', 'Task Force on Climate-related Financial Disclosure', 'Equator Principles']",6
